policyDefinitionId,groupNames,parameters
5f76cf89-fbf2-47fd-a3f4-b891fa780b60,16.4.30.C.01.,
5c607a2e-c700-4744-8254-d77e7c9eb5e4,16.4.30.C.01.,
9297c21d-2ed6-4474-b48f-163f75654ce3,16.4.31.C.01.,
aa633080-8b72-40c4-a2d7-d00c03e80bed,16.4.31.C.01.,
09024ccc-0c5f-475e-9457-b7c0d9ed487b,16.4.30.C.01.,
475aae12-b88a-4572-8b36-9b712b2b3a17,23.5.11.C.01.,
91a78b24-f231-4a8a-8da9-02c35b2b6510,23.5.11.C.01.,requiredRetentionDays
a451c1ef-c6ca-483d-87ed-f49761e3ffb5,23.5.11.C.01.,
a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9,23.5.11.C.01.,setting-a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9
eb6f77b9-bd53-4e35-a23d-7f65d5f0e446,23.5.11.C.01.,
a4fe33eb-e377-4efb-ab31-0784311bc499,23.5.11.C.01.,
a3a6ea0c-e018-4933-9ef0-5aaa1501449b,23.5.11.C.01.,
eb6f77b9-bd53-4e35-a23d-7f65d5f0e442,23.5.11.C.01.,
057ef27e-665e-4328-8ea3-04b3122bd9fb,23.5.11.C.01.,requiredRetentionDays
245fc9df-fa96-4414-9a0b-3738c2f7341c,23.5.11.C.01.,requiredRetentionDays
f9be5368-9bf5-4b84-9e0a-7850da98bb46,23.5.11.C.01.,requiredRetentionDays
428256e6-1fac-4f48-a757-df34c2b3336d,23.5.11.C.01.,requiredRetentionDays
c95c74d9-38fe-4f0d-af86-0c7d626a315c,23.5.11.C.01.,requiredRetentionDays
83a214f7-d01a-484b-91a9-ed54470c9a6a,23.5.11.C.01.,requiredRetentionDays
383856f8-de7f-44a2-81fc-e5135b5c2aa4,23.5.11.C.01.,requiredRetentionDays
cf820ca0-f99e-4f3e-84fb-66e913812d21,23.5.11.C.01.,requiredRetentionDays
34f95f76-5386-4de7-b824-0d8478470c9d,23.5.11.C.01.,requiredRetentionDays
b4330a05-a843-4bc8-bf9a-cacce50c67f4,23.5.11.C.01.,requiredRetentionDays
f8d36e2f-389b-4ee4-898d-21aeb69a0f45,23.5.11.C.01.,requiredRetentionDays
89099bee-89e0-4b26-a5f4-165451757743,23.5.11.C.01.,
0b60c0b2-2dc2-4e1c-b5c9-abbed971de53,23.4.9.C.01.,effect-0b60c0b2-2dc2-4e1c-b5c9-abbed971de53
1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d,23.4.9.C.01.,effect-1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d
3657f5a0-770e-44a3-b44e-9431ba1e9735,23.4.9.C.01.,effect-3657f5a0-770e-44a3-b44e-9431ba1e9735
1f905d99-2ab7-462c-a6b0-f709acca6c8f,23.4.9.C.01.,effect-1f905d99-2ab7-462c-a6b0-f709acca6c8f
